sol,target,Easting,Northing,Easting,Latitude,Longitude,Easting Offset from Ronan,Northing Offset from Ronan,start_time,gnorm,sh_tavg,lifetime,Fe_FWHM,Na2O,Na2O_err,MgO,MgO_err,Al2O3,Al2O3_err,SiO2,SiO2_err,P2O5,P2O5_err,SO3,SO3_err,Cl,Cl_err,K2O,K2O_err,CaO,CaO_err,TiO2,TiO2_err,Cr2O3,Cr2O3_err,MnO,MnO_err,FeO,FeO_err,Ni,Ni_err,Zn,Zn_err,Br,Br_err,source_edrs,planning_target,
1348,Nomeib,-277296.1339,8141896.53,-277296.1339,137.358873396011,-4.67816116192089,-670.971,-582.1193,01348M18:18:31,81.9,-28.2,3:00:00,154,2.95,0.14,7.68,0.17,13.29,0.29,44.68,0.54,0.86,0.05,5.2,0.08,1.94,0.03,0.42,0.02,6.34,0.07,0.86,0.03,0.51,0.01,0.29,0.01,14.8,0.2,412,24,247,10,722,24,APB_517193680ESC13480541490_______M1.DAT:APB_517186960ESC13480541490_______M1.DAT,,
1300,Onesi,-277301.0435,8141907.817,-277301.0435,137.35887290688,-4.67816564842756,-659.684,-587.0289,01313M17:56:17,71.3,-34,3:00:00,149.5,3,0.14,6.1,0.17,8.7,0.19,50.12,0.54,1.01,0.07,5.94,0.1,1.84,0.03,0.57,0.02,5.73,0.07,0.95,0.03,0.38,0.01,0.2,0.01,15.36,0.2,238,15,231,10,100,5,APB_514079145ESC13130540388_______M1.DAT:APB_514089553ESC13130540388_______M1.DAT,,
1300,Uau,-277301.3095,8141907.788,-277301.3095,137.358566947366,-4.67817003710813,-659.713,-587.2949,01313M23:57:31,73.6,-64.5,5:00:00,151.4,2.16,0.07,4.44,0.17,4.21,0.1,66.61,0.75,1.7,0.09,7.84,0.1,1.23,0.02,0.33,0.01,3.85,0.04,1.34,0.05,0.4,0.01,0.07,0.01,5.68,0.07,52,10,89,5,161,5,APB_514125236ESC13140540388_______M1.DAT:APB_514110415ESC13140540388_______M1.DAT,,
1351,Nauaspoort,-277301.5697,8141889.648,-277301.5697,137.358574267456,-4.67817608883216,-677.853,-587.5551,01352M03:52:40,80.1,-63.1,3:30:00,150.9,2.99,0.14,5.33,0.17,7.47,0.19,50.1,0.54,1.85,0.12,7.07,0.1,2.36,0.03,0.51,0.02,5.34,0.06,0.93,0.03,0.35,0.01,0.18,0.01,15.42,0.2,226,15,155,10,228,10,APB_517483521ESC13520541610_______M1.DAT:APB_517498341ESC13520541610_______M1.DAT,,
1351,Groendraai,-277301.9285,8141890.082,-277301.9285,137.35917004518,-4.67821767841159,-677.419,-587.9139,01351M18:41:30,74.4,-29.5,2:00:00,151.6,2.73,0.14,8.85,0.25,8.86,0.19,43.61,0.54,0.87,0.05,5.39,0.1,1.09,0.03,0.42,0.02,6.69,0.07,0.97,0.03,0.4,0.01,0.38,0.01,19.55,0.26,520,30,310,10,156,10,APB_517453562ESC13510541610_______M1.DAT:APB_517457582ESC13510541610_______M1.DAT,,
1318,Cangulo,-277304.3943,8141925.405,-277304.3943,137.359170905375,-4.67821951180736,-642.096,-590.3797,01318M17:46:45,78.1,-24.8,1:19:19,159.3,2.63,0.14,5.22,0.17,5.95,0.19,54.58,0.64,1.18,0.07,11.9,0.15,1.9,0.04,0.47,0.02,7.54,0.08,1.01,0.03,0.41,0.01,0.12,0.01,6.9,0.13,111,15,111,10,355,15,APB_514520450ESC13180540746_______M1.DAT:APB_514522066ESC13180540746_______M1.DAT,,
1324,Lubango_fulldrill_tailings,-277304.503,8141925.456,-277304.503,137.359168662122,-4.67822004141754,-642.045,-590.4884,01325M02:58:21,62.7,-63.7,1:30:00,150.6,1.59,0.14,1.06,0.83,2.12,0.1,63.58,0.64,1.49,0.09,15.07,0.2,0.31,0.02,0.29,0.01,8.58,0.1,1.07,0.03,0.34,0.01,0.06,0.04,4.31,0.07,43,24,77,10,82,5,APB_515081203ESC13250540746_______M1.DAT:APB_515097903ESC13250540746_______M1.DAT,,
1326,Lubango_presieve_apxs,-277304.5344,8141925.323,-277304.5344,137.359353300424,-4.67824663999275,-642.178,-590.5198,01326M19:08:59,62.1,-38.3,4:00:00,145.9,1.92,0.07,1.55,0.83,3.09,0.1,59.75,0.64,1.33,0.07,13.69,0.15,0.32,0.01,0.31,0.01,8.22,0.08,1.11,0.05,0.29,0.01,0.09,0.01,8.22,0.13,110,10,88,5,60,5,APB_515261516ESC13270540746_______M1.DAT:APB_515246696ESC13260540746_______M1.DAT,,
1300,Gudaus,-277306.1114,8141936.27,-277306.1114,137.365056965985,-4.67826851086941,-631.231,-592.0968,01300M16:53:05,74,-21.7,1:56:14,167.7,2.48,0.14,5.4,0.17,5.55,0.19,58.04,0.64,0.99,0.07,11.15,0.15,1.38,0.03,0.47,0.02,6.97,0.07,1.16,0.05,0.43,0.01,0.12,0.01,5.72,0.07,100,15,140,10,476,15,APB_512918765ESC13000532980_______M1.DAT:APB_512923087ESC13000532980_______M1.DAT,,
1259,Groot_Aub,-277307.4081,8142274.434,-277307.4081,137.357677978117,-4.67852441041483,-293.067,-593.3935,01259M17:19:40,92.1,-35.4,2:20:00,145.6,2.5,0.14,6.8,0.17,8.49,0.19,46.74,0.54,0.99,0.07,8.58,0.1,1.18,0.02,0.95,0.04,4.45,0.06,0.94,0.03,0.24,0.01,0.27,0.02,17.53,0.2,913,49,829,24,401,15,APB_509280049ESC12590522678_______M1.DAT:APB_509287369ESC12590522678_______M1.DAT,,
1359,Okoruso_postsieve_dump_apxs,-277322.5801,8141836.942,-277322.5801,137.357678247982,-4.67853209144917,-730.559,-608.5655,01359M19:47:39,71.1,-39.2,8:00:00,146.2,3.08,0.14,8.97,0.25,9.64,0.29,45.1,0.54,0.75,0.05,0.96,0.03,0.5,0.01,0.37,0.01,6.36,0.07,0.94,0.03,0.41,0.01,0.39,0.01,22.39,0.26,494,24,320,10,105,5,APB_518193815ESC13600542280_______M1.DAT:APB_518178635ESC13590542280_______M1.DAT,,
1364,Oudam_tailings_APXS,-277323.0355,8141836.958,-277323.0355,137.362424415434,-4.6785700985699,-730.543,-609.0209,01364M22:21:19,75.7,-54.8,7:57:49,171.5,2.52,0.14,4.84,0.17,9.37,0.19,52.87,0.54,0.5,0.05,3.54,0.05,0.35,0.01,0.85,0.04,4.03,0.04,1.09,0.03,0.34,0.01,0.28,0.01,19.17,0.2,725,40,1168,40,17,5,APB_518631778ESC13650542280_______M1.DAT:APB_518646598ESC13650542280_______M1.DAT,,
1275,Palmwag,-277325.2889,8142118.353,-277325.2889,137.3607928956,-4.67859590104318,-449.148,-611.2743,01275M18:50:59,85.7,-38.1,1:18:13,149.1,1.59,0.07,3.99,0.08,3.57,0.1,14.89,0.21,0.78,0.05,40.32,0.43,0.6,0.02,0.13,0.01,29.39,0.31,0.22,0.02,0.12,0.01,0.1,0.01,4.21,0.07,303,20,242,10,26,5,APB_510708751ESC12750531056_______M1.DAT:APB_510706110ESC12750531056_______M1.DAT,,
1287,Rossing,-277326.8187,8142021.622,-277326.8187,137.367050138736,-4.67888416584288,-545.879,-612.8041,01287M16:42:17,73.1,-24.9,3:00:00,160,2.3,0.14,6.15,0.17,5.96,0.19,31.58,0.32,0.78,0.05,23.2,0.25,1.07,0.02,0.3,0.01,15.89,0.17,0.58,0.03,0.21,0.01,0.27,0.01,11.54,0.13,273,15,192,10,227,10,APB_511772299ESC12870531994_______M1.DAT:APB_511766477ESC12870531994_______M1.DAT,,
1223,Gobabeb_Scuff_APXS,-277343.9096,8142392.607,-277343.9096,137.36703818034,-4.67888453353402,-174.894,-629.895,01223M20:46:44,76.2,-62.4,6:30:00,153.5,2.67,0.14,8.36,0.25,10.01,0.29,48.15,0.54,0.75,0.05,2.82,0.05,0.5,0.01,0.48,0.02,7.2,0.08,0.84,0.03,0.32,0.01,0.37,0.02,17.5,0.2,504,30,189,10,37,5,APB_506121976ESC12240521162_______M1.DAT:APB_506107156ESC12240521162_______M1.DAT,,
1226,Gobabeb_DumpA_APXS,-277343.9314,8142391.898,-277343.9314,137.367009540911,-4.6790204746859,-175.603,-629.9168,01226M21:31:44,79.6,-65.2,7:30:00,148,2.75,0.14,7.57,0.17,9.78,0.29,47.88,0.54,0.79,0.05,3.36,0.05,0.5,0.01,0.49,0.02,7.3,0.08,0.88,0.03,0.39,0.01,0.37,0.02,17.91,0.2,439,24,203,10,24,5,APB_506376253ESC12270521162_______M1.DAT:APB_506391074ESC12270521162_______M1.DAT,,
1245,Kudis,-277351.9912,8142390.2,-277351.9912,137.367019003054,-4.67902541658985,-177.301,-637.9766,01245M21:03:03,108,-62.5,5:30:00,144.3,2.42,0.14,5.11,0.17,8.48,0.19,46.48,0.54,0.76,0.05,9.71,0.1,0.81,0.02,1.09,0.04,5.9,0.07,0.95,0.03,0.27,0.01,0.17,0.02,17.58,0.2,978,49,865,30,159,5,APB_508081204ESC12460521370_______M1.DAT:APB_508066384ESC12460521370_______M1.DAT,,
1245,Tinkas,-277352.2842,8142390.761,-277352.2842,137.366605198714,-4.67921158468981,-176.74,-638.2696,01245M16:38:02,96.2,-26.9,3:21:12,155.2,2.43,0.14,5.53,0.17,8.77,0.19,48.88,0.54,0.9,0.05,6.36,0.08,0.8,0.02,1.15,0.04,4.19,0.04,0.92,0.03,0.25,0.01,0.25,0.02,19.17,0.2,1142,60,852,30,179,10,APB_508039461ESC12450521370_______M1.DAT:APB_508047081ESC12450521370_______M1.DAT,,
1191,Pomona,-277363.3219,8142366.227,-277363.3219,137.366604254187,-4.67921177865533,-201.274,-649.3073,01191M16:32:32,64.1,-33.7,3:38:58,146.9,2.44,0.14,7.48,0.17,9.05,0.19,44.7,0.54,1.23,0.07,10.35,0.12,1.03,0.02,0.67,0.02,5.04,0.06,0.92,0.03,0.27,0.01,0.21,0.02,16.19,0.2,1933,99,998,30,265,10,APB_503245770ESC11910512004_______M1.DAT:APB_503257771ESC11910512004_______M1.DAT,,
1191,Elizabeth_Bay,-277363.3334,8142366.171,-277363.3334,137.365712889885,-4.67928716377385,-201.33,-649.3188,01191M23:17:41,80.1,-68.6,8:00:00,146.5,2.64,0.14,7.69,0.17,9.45,0.29,46.29,0.54,1.14,0.07,7.41,0.08,1.12,0.02,0.6,0.02,5.57,0.06,1.03,0.03,0.3,0.01,0.27,0.02,16.27,0.2,671,35,1023,35,147,5,APB_503273880ESC11920512004_______M1.DAT:APB_503292299ESC11920512004_______M1.DAT,,
1182,Weissrand,-277367.8029,8142313.323,-277367.8029,137.36555066725,-4.67931686073732,-254.178,-653.7883,01182M22:33:33,74.5,-65.7,3:00:00,147.1,2.74,0.14,8.98,0.25,9.83,0.29,45.69,0.54,0.77,0.05,3.19,0.05,0.51,0.02,0.43,0.02,7.29,0.08,0.89,0.03,0.43,0.01,0.41,0.02,18.83,0.2,496,24,197,10,31,5,APB_502475789ESC11830511298_______M1.DAT,,
1184,Kibnas_APXS,-277369.5636,8142303.705,-277369.5636,137.367945348614,-4.67999540101695,-263.796,-655.549,01184M16:31:20,64.5,-25.4,3:45:00,157.4,2.27,0.14,9.97,0.25,8.49,0.19,44.56,0.54,0.76,0.05,3.28,0.05,0.51,0.02,0.35,0.01,7.04,0.08,0.9,0.03,0.53,0.01,0.4,0.02,20.76,0.26,489,24,228,10,20,10,APB_502623808ESC11840511430_______M1.DAT:APB_502630618ESC11840511430_______M1.DAT,,
1202,Greenhorn_postsieve_dump,-277409.7935,8142445.683,-277409.7935,137.358124537329,-4.68003363583633,-121.818,-695.7789,01202M20:45:41,64.5,-63.2,7:00:00,152.5,2.43,0.14,1.81,0.08,3.92,0.1,53.24,0.54,1.15,0.07,11.92,0.12,0.46,0.01,0.3,0.01,7.8,0.08,1,0.03,0.45,0.01,0.14,0.02,15.25,0.2,293,15,162,5,228,10,APB_504242829ESC12030520000_______M1.DAT:APB_504257649ESC12030520000_______M1.DAT,,
1375,Andara,-277412.0604,8141863.418,-277412.0604,137.356091002884,-4.68501934395129,-704.083,-698.0458,01375M20:35:20,98.1,-43.5,8:00:00,145.9,2.85,0.14,7.66,0.17,9.04,0.19,43.4,0.54,1.07,0.07,9.71,0.1,2.16,0.03,0.76,0.02,4.53,0.06,0.93,0.03,0.27,0.01,0.19,0.01,17.21,0.2,771,40,637,20,133,5,APB_519616786ESC13760543036_______M1.DAT:APB_519601966ESC13760543036_______M1.DAT,,
1403,Uku,-277707.6575,8141742.852,-277707.6575,137.355598583478,-4.6850656291828,-824.649,-993.6429,01403M18:57:30,111.8,-36,5:25:28,150.1,2.51,0.14,6.1,0.17,9.24,0.19,48.09,0.54,1.06,0.07,6.43,0.08,1.54,0.02,0.77,0.02,4.09,0.04,1.04,0.03,0.31,0.01,0.12,0.01,18.42,0.2,1237,65,749,24,153,5,APB_522096437ESC14040552444_______M1.DAT:APB_522081961ESC14030552444_______M1.DAT,,
1409,Zambezi,-277710.4017,8141713.657,-277710.4017,137.355607573358,-4.6850737942876,-853.844,-996.3871,01409M22:16:29,91.5,-43.4,4:30:00,144.7,4.52,0.2,2.64,0.08,9.34,0.19,59.25,0.64,0.57,0.05,2.87,0.05,0.71,0.02,3.17,0.1,2.96,0.04,0.82,0.03,0.03,0.01,0.21,0.01,12.69,0.13,55,10,168,10,32,5,APB_522641352ESC14100560000_______M1.DAT:APB_522626532ESC14100560000_______M1.DAT,,
1407,Sonneblom,-277710.8858,8141714.19,-277710.8858,137.354423219932,-4.68706842262353,-853.311,-996.8712,01407M19:57:29,69.5,-38.3,6:30:00,146.9,3.92,0.14,4.55,0.17,9.22,0.19,54.08,0.64,0.71,0.05,4.3,0.05,1.02,0.02,2.61,0.08,3.83,0.04,0.86,0.03,0.08,0.01,0.22,0.01,14.37,0.2,120,10,184,10,208,10,APB_522455278ESC14080560000_______M1.DAT:APB_522440458ESC14070560000_______M1.DAT,,
1419,Oudam_post_sieve_dump_pile,-277829.1451,8141643.971,-277829.1451,137.35438206551,-4.68712096535118,-923.53,-1115.1305,01419M19:34:28,69.9,-29.9,3:30:00,151.9,2.59,0.14,5.08,0.17,9,0.19,48.65,0.54,0.61,0.05,5.58,0.08,0.56,0.02,0.81,0.04,5.07,0.06,1.04,0.03,0.32,0.01,0.16,0.01,20.25,0.26,851,44,986,30,114,5,APB_523504288ESC14190561236_______M1.DAT,,
1416,Dondo,-277832.2603,8141641.531,-277832.2603,137.354366261537,-4.68712465406925,-925.97,-1118.2457,01416M19:45:10,100.9,-31.7,1:40:00,150.8,2.45,0.14,6.06,0.17,8.7,0.19,46.17,0.54,0.8,0.05,7.48,0.1,1.37,0.03,0.82,0.04,4.56,0.06,1.01,0.03,0.32,0.01,0.12,0.01,19.84,0.26,1058,54,978,30,252,10,APB_523227224ESC14160561122_______M1.DAT:APB_523230584ESC14160561122_______M1.DAT,,
1416,Chibia,-277832.479,8141640.594,-277832.479,137.352785442601,-4.69103444391352,-926.907,-1118.4644,01417M01:44:10,96.7,-45.3,4:00:00,144.8,2.57,0.14,5.03,0.17,9.03,0.19,47.85,0.54,0.75,0.05,6.73,0.08,2.14,0.03,0.96,0.04,3.85,0.04,1.04,0.03,0.3,0.01,0.09,0.01,19.37,0.26,1014,54,888,30,137,10,APB_523245936ESC14170561122_______M1.DAT:APB_523260756ESC14170561122_______M1.DAT,,
1436,Conda,-278064.2861,8141546.869,-278064.2861,137.353075817409,-4.69215773193595,-1020.632,-1350.2715,01436M22:38:14,99.4,-43,6:30:00,146,2.37,0.14,5.63,0.17,8.87,0.19,46.14,0.54,0.89,0.05,8.46,0.1,1.59,0.02,0.8,0.02,4.43,0.06,1.02,0.03,0.32,0.01,0.18,0.01,18.92,0.2,935,49,1071,35,636,20,APB_525024781ESC14370570462_______M1.DAT:APB_525039921ESC14370570462_______M1.DAT,,
1444,Andulo,-278130.8846,8141564.085,-278130.8846,137.354547492793,-4.69752380304978,-1003.416,-1416.87,01444M18:32:50,77.4,-26.4,2:50:00,156.7,2.02,0.14,5.22,0.17,8.13,0.19,44.37,0.54,0.98,0.07,10.97,0.12,0.83,0.02,0.76,0.02,6.58,0.07,1,0.03,0.28,0.01,0.13,0.01,18.5,0.2,804,44,701,24,68,5,APB_525711448ESC14440571020_______M1.DAT:APB_525717868ESC14440571020_______M1.DAT,,
1477,Caungula,-278449.033,8141651.339,-278449.033,137.354876694436,-4.69892388154678,-916.162,-1735.0184,01477M18:34:04,87.3,-21.3,2:50:00,166.7,2.67,0.14,6.94,0.17,8.83,0.19,40.5,0.43,2.21,0.12,5.4,0.08,2.7,0.04,0.62,0.02,3.67,0.04,1.02,0.03,0.38,0.01,0.2,0.01,24.4,0.26,714,40,957,30,1215,40,APB_528646299ESC14770580912_______M1.DAT:APB_528640480ESC14770580912_______M1.DAT,,
1484,Tobane,-278532.0421,8141670.857,-278532.0421,137.356022710157,-4.70151365173812,-896.644,-1818.0275,01484M18:42:39,92,-26.3,1:40:00,156.2,2.26,0.14,6.3,0.17,7.24,0.19,35.79,0.43,1.02,0.07,12.12,0.12,1.43,0.03,0.97,0.04,4.69,0.06,0.77,0.03,0.24,0.01,0.13,0.01,26.81,0.33,979,49,562,20,240,10,APB_529259452ESC14840581572_______M1.DAT:APB_529263701ESC14840581572_______M1.DAT,,
1504,Thrumcap,-278685.5867,8141738.803,-278685.5867,137.355520828607,-4.70404838463665,-828.698,-1971.5721,01504M22:25:31,98.3,-43.5,8:00:00,145.8,2.31,0.14,5.2,0.17,8.15,0.19,44.43,0.54,0.68,0.05,11.39,0.12,1.43,0.02,1.92,0.06,3.55,0.04,0.93,0.03,0.27,0.01,0.13,0.01,19.36,0.26,544,30,531,20,678,24,APB_531075479ESC15050590000_______M1.DAT:APB_531060659ESC15050590000_______M1.DAT,,
1511,Pemetic,-278835.8682,8141709.047,-278835.8682,137.356147252883,-4.70564349461425,-858.454,-2121.8536,01511M20:16:36,99,-28,2:15:00,155.1,2.38,0.14,4.93,0.17,8.95,0.19,51.04,0.54,1.04,0.07,3.07,0.05,1.17,0.02,1.14,0.04,2.74,0.03,1.1,0.03,0.35,0.01,0.14,0.01,21.52,0.26,1199,60,815,24,683,24,APB_531659312ESC15110591260_______M1.DAT:APB_531668449ESC15110591260_______M1.DAT,,
1518,Sheep_Porcupine,-278930.4405,8141746.187,-278930.4405,137.356146814353,-4.70564614266518,-821.314,-2216.4259,01518M18:35:22,72.4,-24.3,2:00:00,159.8,2.69,0.14,8.86,0.25,9.7,0.29,45.41,0.54,0.81,0.05,3.04,0.05,0.5,0.01,0.46,0.02,7.17,0.08,0.93,0.03,0.42,0.01,0.39,0.01,19.49,0.26,548,30,212,10,46,5,APB_532283725ESC15180592242_______M1.DAT:APB_532279104ESC15180592242_______M1.DAT,,
1518,Bald_Porcupine,-278930.5975,8141746.161,-278930.5975,137.35664969103,-4.70609728958326,-821.34,-2216.5829,01518M22:28:38,66.6,-51.6,7:45:47,148.8,2.61,0.14,9.11,0.25,9.66,0.29,45.54,0.54,0.79,0.05,2.97,0.05,0.49,0.01,0.48,0.02,7.39,0.08,0.91,0.03,0.49,0.01,0.41,0.01,19.03,0.2,493,24,208,10,21,5,APB_532306021ESC15190592242_______M1.DAT:APB_532321115ESC15190592242_______M1.DAT,,
1525,IronBound_Island,-278957.3455,8141775.976,-278957.3455,137.356651428286,-4.70610923617224,-791.525,-2243.3309,01525M22:35:52,86.5,-44.6,7:30:00,145.5,2.35,0.14,5.04,0.17,9.12,0.19,51.21,0.54,0.9,0.05,5.49,0.08,1.41,0.02,0.95,0.04,2.75,0.03,1.11,0.03,0.39,0.01,0.12,0.01,18.89,0.2,668,35,498,15,599,20,APB_532942739ESC15260592668_______M1.DAT:APB_532925560ESC15260592668_______M1.DAT,,
1524,Manset,-278958.0538,8141776.079,-278958.0538,137.356661126562,-4.70613878639657,-791.422,-2244.0392,01524M19:48:39,31.2,-41.5,7:00:00,146.1,2.29,0.14,6.24,0.17,7.38,0.19,35.64,0.43,0.95,0.07,12.61,0.15,1.61,0.03,1.17,0.04,6.07,0.07,0.88,0.03,0.26,0.01,0.18,0.01,24.45,0.26,450,24,570,20,932,30,APB_532826476ESC15240592668_______M1.DAT:APB_532841295ESC15250592668_______M1.DAT,,
1570,Valley_Cove,-278959.8058,8141776.654,-278959.8058,137.356657567716,-4.70613976297077,-790.847,-2245.7912,01571M01:14:34,76.7,-44.4,3:00:00,145.5,2.55,0.14,6.26,0.17,8.49,0.19,42.91,0.54,1.19,0.07,7.94,0.1,2.12,0.03,0.82,0.04,3.58,0.04,0.95,0.03,0.27,0.01,0.17,0.01,22.37,0.26,769,40,666,20,1397,44,APB_536915372ESC15710593016_______M1.DAT:APB_536930193ESC15710593016_______M1.DAT,,
1570,Fresh_Meadow,-278959.8637,8141776.443,-278959.8637,137.356657702649,-4.70613976465743,-791.058,-2245.8491,01570M19:08:01,74.3,-20.7,1:26:11,168.8,3.22,0.14,5.86,0.17,7.54,0.19,34.04,0.43,0.87,0.05,13.34,0.15,2.51,0.04,2.29,0.07,3.95,0.04,0.75,0.03,0.33,0.01,0.2,0.01,24.83,0.26,476,24,405,15,927,30,APB_536895894ESC15700593016_______M1.DAT:APB_536899015ESC15700593016_______M1.DAT,,
1567,Bar_Island,-278959.8638,8141776.451,-278959.8638,137.356657668916,-4.70613985236357,-791.05,-2245.8492,01567M22:08:17,77,-43.6,7:30:00,146.2,2.77,0.14,6.32,0.17,9.86,0.29,47.45,0.54,1.03,0.07,5.3,0.08,2.46,0.03,0.75,0.02,3.21,0.04,1.08,0.03,0.4,0.01,0.17,0.01,18.86,0.2,709,40,672,24,1333,44,APB_536667205ESC15680593016_______M1.DAT:APB_536652384ESC15680593016_______M1.DAT,,
1569,Eagle_Lake,-278959.869,8141776.449,-278959.869,137.356660384433,-4.70614025547451,-791.052,-2245.8544,01569M22:02:56,81,-41.5,6:00:00,147.4,2.95,0.14,6.34,0.17,9.14,0.19,44.34,0.54,0.99,0.07,7.43,0.08,2.68,0.03,0.84,0.04,4.27,0.06,0.98,0.03,0.41,0.01,0.19,0.01,19.05,0.2,659,35,586,20,1146,35,APB_536842880ESC15700593016_______M1.DAT:APB_536828060ESC15700593016_______M1.DAT,,
1566,Thompson_Island,-278959.8929,8141776.61,-278959.8929,137.356660620565,-4.70614039378035,-790.891,-2245.8783,01566M22:26:28,87.5,-44.1,4:30:00,145.8,2.62,0.14,5.96,0.17,9.13,0.19,44.8,0.54,1,0.07,6.29,0.08,2.38,0.03,0.83,0.04,3.75,0.04,1.01,0.03,0.32,0.01,0.18,0.01,21.39,0.26,749,40,644,20,1351,44,APB_536577751ESC15670593016_______M1.DAT:APB_536562932ESC15670593016_______M1.DAT,,
1566,Mill_Field,-278959.9011,8141776.624,-278959.9011,137.356708993877,-4.70622538103513,-790.877,-2245.8865,01566M19:07:10,95.4,-23.6,2:32:24,164,2.86,0.14,6.08,0.17,9.13,0.19,46.44,0.54,1.03,0.07,5.85,0.08,2.97,0.04,0.68,0.02,3.36,0.04,1.06,0.03,0.3,0.01,0.16,0.01,19.66,0.26,800,44,716,24,1430,44,APB_536547464ESC15660593016_______M1.DAT:APB_536542544ESC15660593016_______M1.DAT,,
1552,Beachcroft,-278964.9399,8141779.492,-278964.9399,137.356710613068,-4.70622671349388,-788.009,-2250.9253,01552M19:15:43,77.5,-30.9,1:50:00,151.6,2.18,0.14,3.99,0.08,7.87,0.19,45.18,0.54,1,0.07,13.05,0.15,0.79,0.02,0.98,0.04,7.39,0.08,0.96,0.03,0.31,0.01,0.09,0.01,15.93,0.2,460,24,351,15,116,5,APB_535303350ESC15520592830_______M1.DAT:APB_535299330ESC15520592830_______M1.DAT,,
1552,Echo_Lake,-278965.0189,8141779.588,-278965.0189,137.356704085706,-4.70624276877843,-787.913,-2251.0043,01552M21:42:29,86.7,-51.5,7:30:00,150.8,2.37,0.14,4.62,0.17,9.52,0.29,52.91,0.54,0.93,0.07,4.16,0.05,0.99,0.02,0.95,0.04,2.99,0.04,1.16,0.05,0.41,0.01,0.1,0.01,18.67,0.2,671,35,511,20,142,5,APB_535319178ESC15530592830_______M1.DAT:APB_535333998ESC15530592830_______M1.DAT,,
1537,Thomas_Bay,-278965.9708,8141779.201,-278965.9708,137.356706733757,-4.7062464423166,-788.3,-2251.9562,01537M20:51:29,93.7,-40.7,6:00:00,149.4,1.2,0.68,2.4,0.08,2.57,0.1,11.94,0.21,0.51,0.05,44.13,0.45,0.58,0.02,0.07,0.07,31.87,0.32,0.12,0.1,0.11,0.01,0.03,0.04,4.43,0.07,126,10,68,5,27,5,APB_533979017ESC15370592830_______M1.DAT:APB_533993836ESC15380592830_______M1.DAT,,
1531,Precipice_DRT,-278966.1886,8141779.358,-278966.1886,137.356947790724,-4.70631755682051,-788.143,-2252.174,01531M22:17:37,87.2,-41.8,3:00:00,145.2,2.18,0.07,3.45,0.08,9.94,0.29,53.49,0.64,1.15,0.07,2.16,0.05,0.76,0.02,0.83,0.04,2.08,0.03,1.11,0.05,0.4,0.01,0.08,0.01,22.14,0.26,932,49,458,15,104,5,APB_533457342ESC15320592830_______M1.DAT:APB_533472164ESC15320592830_______M1.DAT,,
1572,Isle_Au_Haut,-278970.4049,8141793.65,-278970.4049,137.358416413261,-4.70773112857063,-773.851,-2256.3903,01572M22:25:57,103.2,-43.1,4:00:00,145.9,2.27,0.14,5.64,0.17,8.93,0.19,48.03,0.54,1.38,0.09,5.24,0.08,1.41,0.02,0.88,0.04,2.44,0.03,1.06,0.03,0.3,0.01,0.13,0.01,22.01,0.26,1128,60,675,24,294,10,APB_537097347ESC15730600000_______M1.DAT:APB_537111702ESC15730600000_______M1.DAT,,
1581,Mars_Hill,-279054.214,8141880.723,-279054.214,137.358416834925,-4.70773115724379,-686.778,-2340.1994,01581M22:28:44,70.9,-41.8,4:00:00,145.6,2.29,0.14,6.61,0.17,8.46,0.19,46.72,0.54,1.14,0.07,6.16,0.08,1.37,0.02,0.88,0.04,3.65,0.04,1.06,0.03,0.32,0.01,0.19,0.01,20.83,0.26,798,40,1509,49,355,15,APB_537911306ESC15820600888_______M1.DAT:APB_537896486ESC15820600888_______M1.DAT,,
1581,Camera_Hill,-279054.2157,8141880.748,-279054.2157,137.35858136828,-4.70940080226498,-686.753,-2340.2011,01581M19:54:10,83.2,-30.8,2:00:00,151.8,2.02,0.14,5.69,0.17,6.49,0.19,32.78,0.43,4.22,0.23,15.35,0.17,1.13,0.03,0.54,0.02,9.17,0.1,0.69,0.03,0.24,0.01,0.22,0.01,21.26,0.26,434,24,832,24,221,10,APB_537876578ESC15810600888_______M1.DAT:APB_537881018ESC15810600888_______M1.DAT,,
1586,Bluffer_Pond,-279153.2071,8141890.503,-279153.2071,137.358571939869,-4.70940370162774,-676.998,-2439.1925,01586M19:13:35,84.7,-27.8,4:00:00,156.8,2.46,0.14,5.97,0.17,8.42,0.19,47.52,0.54,1.07,0.07,5.32,0.08,1.59,0.02,0.82,0.04,3.62,0.04,1.09,0.03,0.33,0.01,0.18,0.01,21.15,0.26,874,44,1823,54,702,24,APB_538328748ESC15860601752_______M1.DAT:APB_538321128ESC15860601752_______M1.DAT,,
1586,Belle_Lake,-279153.379,8141889.944,-279153.379,137.357787324067,-4.71024230393586,-677.557,-2439.3644,01586M23:30:25,86.7,-51.6,7:15:50,149.4,2.25,0.14,6.5,0.17,8.69,0.19,49.1,0.54,0.83,0.05,6.46,0.08,1.29,0.02,0.94,0.04,2.42,0.03,1.09,0.03,0.32,0.01,0.16,0.01,19.61,0.26,991,49,1518,49,326,10,APB_538345481ESC15870601752_______M1.DAT:APB_538359787ESC15870601752_______M1.DAT,,
