sol,target,Easting,Northing,Easting,Latitude,Longitude,Easting Offset from Ronan,Northing Offset from Ronan,start_time,gnorm,sh_tavg,lifetime,Fe_FWHM,Na2O,Na2O_err,MgO,MgO_err,Al2O3,Al2O3_err,SiO2,SiO2_err,P2O5,P2O5_err,SO3,SO3_err,Cl,Cl_err,K2O,K2O_err,CaO,CaO_err,TiO2,TiO2_err,Cr2O3,Cr2O3_err,MnO,MnO_err,FeO,FeO_err,Ni,Ni_err,Zn,Zn_err,Br,Br_err,source_edrs,planning_target,
585,Virgin_Hills,-274823.5841,8144472.372,-274823.5841,137.402188948047,-4.63816623201075,1904.871,1890.4305,00585M23:04:45,90.8,-66,7:30:00,148,2.42,0.14,8.37,0.25,7.9,0.19,39.87,0.43,0.9,0.05,7.17,0.08,1.11,0.02,1.23,0.05,6.37,0.07,0.91,0.03,0.62,0.01,0.42,0.02,22.43,0.26,339,20,1342,44,619,20,APB_449479384ESC05860300786_______M1.DAT:APB_449494205ESC05860300786_______M1.DAT,,
601,Liga,-274929.7885,8144475.948,-274929.7885,137.402189976908,-4.63869802135611,1908.447,1784.2261,00601M20:01:41,90.2,-47.8,6:18:41,146.3,1.95,0.07,10.6,0.25,7.95,0.19,43.13,0.54,0.71,0.05,7.28,0.08,1.86,0.02,2.38,0.07,5.5,0.06,0.96,0.03,0.55,0.01,0.2,0.02,16.61,0.2,315,20,936,30,568,20,APB_450893137ESC06020310724_______M1.DAT:APB_450907956ESC06020310724_______M1.DAT,,
605,Lagrange,-274961.3177,8144476.009,-274961.3177,137.401934364094,-4.63874953353655,1908.508,1752.6969,00605M21:53:07,91.2,-68.1,7:30:00,147.8,2.68,0.14,8.82,0.25,8.76,0.19,42.29,0.43,0.89,0.05,5.82,0.08,0.76,0.02,0.45,0.02,6.99,0.07,1.05,0.03,0.52,0.01,0.44,0.02,20.4,0.26,557,30,283,10,23,5,APB_451263477ESC06060311094_______M1.DAT:APB_451248656ESC06060311094_______M1.DAT,,
627,Stephen,-274964.3718,8144460.854,-274964.3718,137.377513701134,-4.66251517158442,1893.353,1749.6428,00627M19:27:23,84.1,-46.6,6:30:00,146.8,1.01,0.07,18.3,0.42,4.05,0.1,33.38,0.43,0.7,0.05,4.35,0.05,3.36,0.04,2.49,0.08,4.25,0.06,0.91,0.03,0.34,0.01,4.05,0.06,21.58,0.26,1101,60,8155,244,1888,60,APB_453194510ESC06270311330_______M1.DAT:APB_453209330ESC06280311330_______M1.DAT,,
801,Kelso,-276373.4101,8143012.98,-276373.4101,137.377515235991,-4.66252309043735,445.479,340.6045,00801M21:58:23,84.8,-38.7,1:30:00,145.5,2.67,0.14,8.91,0.25,9.06,0.19,42.89,0.54,0.85,0.05,4.62,0.08,0.62,0.02,0.44,0.02,7.01,0.08,1.05,0.03,0.47,0.01,0.44,0.02,20.77,0.26,557,30,287,15,49,5,APB_468650567ESC08020441140_______M1.DAT,,
802,Dumont,-276373.8796,8143013.071,-276373.8796,137.377439606307,-4.6626623543028,445.57,340.135,00802M21:52:53,70.5,-41.3,8:00:00,145.1,2.71,0.14,8.81,0.25,9.04,0.19,43.43,0.54,0.92,0.05,5.21,0.08,0.7,0.02,0.47,0.02,6.97,0.07,0.99,0.03,0.39,0.01,0.42,0.02,19.78,0.26,542,30,276,10,43,5,APB_468739003ESC08030441140_______M1.DAT:APB_468753823ESC08030441140_______M3.DAT,,
755,Maturango,-276382.1364,8143008.587,-276382.1364,137.377446757732,-4.66280452933762,441.086,331.8782,00755M20:10:54,108.2,-36.7,3:30:00,146.9,2.92,0.14,4.5,0.17,10.43,0.29,51.88,0.54,1.08,0.07,5.17,0.08,0.37,0.01,0.86,0.04,3.77,0.04,1.07,0.03,0.34,0.01,0.31,0.02,16.93,0.2,1155,60,1731,54,57,5,APB_464560318ESC07560421020_______M1.DAT,,
888,Mojave2_presieve_dump,-276390.5658,8143009.011,-276390.5658,137.377756056826,-4.66334951508453,441.51,323.4488,00888M23:51:45,70.5,-42.9,3:30:00,146,3,0.14,4.69,0.17,11.49,0.29,49.92,0.54,1.28,0.07,6.19,0.08,0.46,0.02,0.73,0.02,4.45,0.06,1.1,0.03,0.36,0.01,0.38,0.02,15.48,0.2,898,44,1972,60,57,5,APB_476380933ESC08890450000_______M1.DAT,,
833,Tropico,-276422.8774,8143027.349,-276422.8774,137.377752312448,-4.66335175327789,459.848,291.1372,00833M22:39:35,82.5,-40.9,4:00:00,146.6,2.58,0.14,7.25,0.17,9.64,0.29,48.35,0.54,0.95,0.07,6.48,0.08,1.26,0.02,0.7,0.02,5.04,0.06,1.03,0.03,0.39,0.01,0.27,0.02,15.76,0.2,816,44,1208,40,491,15,APB_471493890ESC08340442062_______M1.DAT:APB_471479069ESC08330442062_______M1.DAT,,
828,Pickhandle_DRT,-276423.0101,8143027.127,-276423.0101,137.377394387043,-4.66348529263071,459.626,291.0045,00828M18:24:45,89.7,-34.3,8:00:00,150.4,2.77,0.14,5.22,0.17,11.32,0.29,52.77,0.54,1.03,0.07,3.41,0.05,0.87,0.02,0.76,0.02,4.08,0.04,1.11,0.03,0.37,0.01,0.27,0.02,15.67,0.2,732,40,1162,35,949,30,APB_471034304ESC08280442062_______M1.DAT:APB_471049125ESC08290442062_______M1.DAT,,
